"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"D1";"LED_0201_0603Metric";1;"LED";;;304090045
2;"C5,C3,C7,C6,C8";"C_0402_1005Metric";5;"0.1u";;;302010004
3;"SW1";"SW_SPST_B3U-1000P-B";1;"SW_Push";;;311020679
5;"R3,R5,R6,R1";"R_0402_1005Metric";4;"10k";;;301010004
6;"U2";"XIAO-ESP32C6-SMD";1;"XIAO-ESP32-S3-SMD";;;113991254
7;"R8,R2";"R_0402_1005Metric";2;"100k";;;301010033
8;"C4,C1";"C_0402_1005Metric";2;"10u";;;302010053
9;"Q1";"SOT-23";1;"AO3400A";;;305031501
10;"U5";"SON65P200X200X65-7N";1;"OPT3001DNPR";;;314020321
11;"R7";"R_0402_1005Metric";1;"1.5k";;;301010001
12;"U6";"Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad";1;"SHT4x";;;314010719
14;"U1";"wio-sx1262";1;"Wio-SX1262";;;114993390
15;"U4";"LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y";1;"LIS3DH";;;314080105

