Designator,Mid X,Mid Y,Rotation,Layer
C1,129.925,-83.705,270.0,top
C2,134.825,-83.68,270.0,top
C3,132.375,-83.705,270.0,top
C4,138.075,-55.795,270.0,top
C5,128.875,-56.095,270.0,top
C6,168.2,-53.195,270.0,top
C7,153.075,-64.38,90.0,top
C8,145.575,-58.845,270.0,top
D1,155.1,-54.0375,90.0,top
D2,148.25,-54.0375,90.0,top
J1,168.075,-78.95,90.0,top
Q1,148.7625,-59.725,180.0,top
R1,124.54,-81.1,180.0,top
R2,145.55,-61.15,90.0,top
R3,138.075,-53.66,270.0,top
R4,150.425,-53.59,270.0,top
R5,151.25,-66.06,270.0,top
R6,145.85,-66.66,90.0,top
R7,157.275,-53.615,270.0,top
R8,152.275,-60.215,270.0,top
R9,128.85,-53.705,270.0,top
SW1,125.45,-54.45,90.0,top
SW2,134.3,-54.4,90.0,top
U1,150.55,-79.15375,270.0,top
U2,131.21575,-69.1141,90.0,top
U3,164.383,-66.25,270.0,top
U5,148.85,-65.475,180.0,top
U6,166.1,-53.425,90.0,top
